Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Tourist,0,Russian,Story of Russian military advisors in the Central African Republic,2021-05-19,Action,None,"Aleksandr Baranovskiy, Aleksei Shevchenkov, Georgy Bolonev, Evgeny Terskikh, Sergey Vorobyov",Andrey Batov,,,,"3xMedia, Aurum Production, Paritet",Unknown
Red Notice,118,English,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",2021-11-04,"Action, Comedy, Crime","fbi, interpol, cleopatra, heist, art thief","Ryan Reynolds, Chris Diamantopoulos, Ritu Arya, Gal Gadot, Dwayne Johnson",Rawson Marshall Thurber,"Netflix, Netflix basic with Ads ",,,"Flynn Picture Company, Seven Bucks Productions, Bad Version",https://www.rednoticemovie.com
Mírame,96,Spanish,"Lalo is a teenager tormented by the recent death of his dad, and being forced to move to an old house with his grandmother Elena. After taking his dad's old wristwatch, the ghost of a young girl begins to haunt him. Now, Lalo's life is in danger as he tries to unfold the mysterious ghost who keeps frightening him, hoping to stop her from dragging him for good.",2021-08-20,Horror,"family secrets, murder, swimmer, ghost, xochimilco, haunted","Regina Reynoso, Michelle Polanco, Leticia Huijara, Darío T. Pie, Axel Alpuche",Pavel Cantú,,,,"EFICINE 189, Spectrum",https://www.spectrumfilms.info/films/mirame.html
Luca,95,English,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,2021-06-17,"Animation, Comedy, Fantasy, Adventure, Family","friendship, monster, italy, coming of age, friends, bromance, sea monster, vespa, aftercreditsstinger, seaside town, 1950s, pasta, water, italian riviera, pesto","Jacob Tremblay, Maya Rudolph, Emma Berman, Saverio Raimondo, Jack Dylan Grazer",Enrico Casarosa,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ",,"Pixar, Walt Disney Pictures",https://www.disneyplus.com/movies/luca/7K1HyQ6Hl16P
Ghostbusters: Afterlife,124,English,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",2021-11-11,"Fantasy, Comedy, Adventure","small town, afterlife, ghostbuster, nostalgia, sequel, ghost, aftercreditsstinger, duringcreditsstinger, dead grandfather, ancient evil, otherworldly beings, paranormal events, father absence, ghostbusters","Bokeem Woodbine, Paul Rudd, Finn Wolfhard, Carrie Coon, Mckenna Grace",Jason Reitman,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Columbia Pictures, Bron Studios, The Montecito Picture Company, Ghost Corps",https://ghostbusters.com/
Escape Room: Tournament of Champions,88,English,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive... and discovering they've all played the games before.",2021-07-01,"Horror, Thriller, Mystery","sequel, no escape, escape room, death game","Indya Moore, Taylor Russell, Holland Roden, Logan Miller, Thomas Cocquerel",Adam Robitel,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Original Film, Columbia Pictures, Shaken, Not Stirred Productions",https://www.sonypictures.com/movies/escaperoomtournamentofchampions
A Quiet Place Part II,97,English,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",2021-05-21,"Science Fiction, Thriller, Horror","island, post-apocalyptic future, radio transmission, alien life-form, death of father, child in peril, sequel, alien, flashback, psychological thriller, creature, alien invasion, parenting, family, survival horror, alien monster, human vs alien, sign languages, alien attack, hearing impaired, newborn baby, new york","Cillian Murphy, Noah Jupe, John Krasinski, Emily Blunt, Millicent Simmonds",John Krasinski,"Hulu, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount, Platinum Dunes, Sunday Night",https://www.aquietplacemovie.com
Army of Thieves,127,English,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,2021-10-27,"Action, Thriller, Crime, Comedy","europe, interpol, prequel, zombie, safecracker, bank teller","Ruby O. Fee, Nathalie Emmanuel, Stuart Martin, Guz Khan, Matthias Schweighöfer",Matthias Schweighöfer,"Netflix, Netflix basic with Ads ",,,"Pantaleon Films, The Stone Quarry, Film United",https://www.netflix.com/title/81185548
Wish Dragon,99,English,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,2021-01-15,"Animation, Family, Comedy, Fantasy","wish, dragon","Natasha Liu Bordizzo, Jimmy O. Yang, Constance Wu, John Cho, Jimmy Wong",Chris Appelhans,"Netflix, Netflix basic with Ads ",,,"Sony Pictures Animation, Tencent Pictures, Base FX, Beijing Sparkle Roll Media Corporation, Flagship Entertainment Group, Columbia Pictures",Unknown
Stillwater,139,English,"Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",2021-07-29,"Drama, Crime, Thriller","marseille, france, fish out of water, father daughter relationship","Camille Cottin, Abigail Breslin, Matt Damon, Lilou Siauvaud, Deanna Dunagan",Tom McCarthy,Showtime Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, FlixFling, Spectrum On Demand ","Participant, DreamWorks Pictures, Slow Pony, Anonymous Content, 3dot Productions, Supernatural Pictures",https://www.focusfeatures.com/stillwater
Spiral: From the Book of Saw,93,English,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.",2021-05-12,"Horror, Crime, Mystery","sequel, murder, police corruption, survival horror, body count, procedural, father son relationship, mystery killings, murder of a policeman, death game","Max Minghella, Samuel L. Jackson, Chris Rock, Marisol Nichols, Dan Petronijevic",Darren Lynn Bousman,"Hulu, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Twisted Pictures, Lionsgate, Serendipity Productions, Dahlstar",https://spiral.movie/
While We Sleep,92,English,"After observing a hauntingly familiar abnormal CAT scan of a 13 year old girl, radiologist Nina Evanko battles to find the source of the young girl's sleeping disorder. What she discovers is darker and stranger than she could have imagined.",2021-10-01,Horror,None,"Vyacheslav Babenkov, Jacy King, Oliver Trevena, Brian Gross, Daryna Trehubova",Andrzej Sekula,"Amazon Prime Video, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",,Unknown
Us Again,7,English,"In a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night.",2021-03-05,"Animation, Drama, Family","new york city, dancing, rain, musical, lovers, elderly couple, short film",,Zach Parrish,Disney Plus ,,,"Walt Disney Pictures, Walt Disney Animation Studios",Unknown
Finders of the Lost Yacht,86,Finnish,"Pertsa and Kilu are two neighbour boys with different backgrounds. They live adventurous life of a young imaginary mind in small harbour town. Accidentally they get involved in a bank robbery. Through their own investigation of the case, imagination and real danger gets mixed and leads to great adventure where friendship and courage is on stake.",2021-07-14,"Family, Adventure",based on novel or book,"Oskari Mustikkaniemi, Mimosa Willamo, Elias Westerberg, Olavi Kiiski, Sara Vänskä",Taavi Vartia,,,,Taavi Vartia Film & TV,Unknown
Encanto,102,English,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",2021-10-13,"Animation, Comedy, Family, Fantasy","strong woman, magic, sadness, immigration, supernatural, beauty, musical, big family, forest, family secrets, family relationships, flamenco, joy of life, teenage girl, female protagonist, family conflict, helping children, matriarch, colombia","Jessica Darrow, Stephanie Beatriz, John Leguizamo, María Cecilia Botero, Diane Guerrero","Jared Bush, Byron Howard",Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Walt Disney Animation Studios, Walt Disney Pictures",https://movies.disney.com/encanto
Infinite,106,English,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",2021-09-09,"Science Fiction, Action, Thriller","based on novel or book, secret organization, reincarnation, memories","Chiwetel Ejiofor, Rupert Friend, Sophie Cookson, Jason Mantzoukas, Mark Wahlberg",Antoine Fuqua,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","di Bonaventura Pictures, Closest to the Hole Productions, Leverage Entertainment, Paramount, New Republic Pictures",https://www.paramountmovies.com/movies/infinite
The Monkey King: Reborn,95,Chinese,"When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…",2021-04-02,"Animation, Action, Fantasy, Family","kung fu, animation","He Zhang, Su Shangqing, Haiting Cai, Zhang Lei, Jiang Bian",Wang Yunfei,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",星皓影业有限公司,http://www.wellgousa.com/films/the-monkey-king-reborn
