Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Drive My Car,179,Japanese,"Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanya at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled.",2021-08-18,Drama,"infidelity, japan, loss of loved one, theater play, theater director, monologue, road trip, hiroshima, japan, grief, rehearsal, audition, sensuality, old car, driver, artistic sex, based on short story, sign languages, slow cinema, bilingual, loss of child","Reika Kirishima, Hidetoshi Nishijima, Toko Miura, Park Yu-rim, Masaki Okada",Ryusuke Hamaguchi,Criterion Channel ,"Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ","Bitters End, C&I entertainment, Culture Entertainment, Agency for Cultural Affairs, J-LOD, nekojarashi, Quaras, Bungeishunju, L'espace Vision, Nippan Group Holdings, The Asahi Shimbun",https://lineup.the-match-factory.digital/cannes/drive-my-car
State of Siege: Temple Attack,106,Hindi,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",2021-07-09,"Action, Drama",based on true story,"Gautam Rode, Abhimanyu Singh, Akshaye Khanna, Vivek Dahiya, Parvin Dabas",Ken Ghosh,,,,Contiloe Pictures,Unknown
Halloween Kills,105,English,"Michael manages to free himself from Laurie Strode's trap to resume his ritual bloodbath. As she fights for her life from injuries from their last encounter, she inspires her daughter Karen, her granddaughter Allyson, and all of Haddonfield to rise up against the unstoppable monster.",2021-10-14,"Horror, Thriller","halloween, sequel, murder, vigilante, serial killer, hospital, slasher, murderer, killer, house fire, crime spree, vigilantism, escaped killer, murder spree, vigilante justice, holiday horror","James Jude Courtney, Andi Matichak, Judy Greer, Nick Castle, Jamie Lee Curtis",David Gordon Green,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Blumhouse Productions, Miramax, Rough House Pictures, Trancas International Films",https://www.halloweenmovie.com
Spider-Man: No Way Home,148,English,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,"Action, Adventure, Science Fiction","new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, villain, portal, sequel, vigilante, superhero team, alternate reality, masked vigilante, spider web, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), fight for justice, teen superhero, superhero teamup, returning hero, crossover, teamwork","Jacob Batalon, Jon Favreau, Zendaya, Benedict Cumberbatch, Tom Holland",Jon Watts,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Marvel Studios, Pascal Pictures, Columbia Pictures",https://www.sonypictures.com/movies/spidermannowayhome
Chaos Walking,109,English,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",2021-02-24,"Fantasy, Science Fiction, Adventure","based on novel or book, dystopia, post-apocalyptic future","Daisy Ridley, David Oyelowo, Demián Bichir, Mads Mikkelsen, Tom Holland",Doug Liman,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Quadrant Pictures, Lionsgate, Bron Studios, 3 Arts Entertainment, TIK Films, Hercules Film Fund, Allison Shearmur Productions, Creative Wealth Media Finance",https://chaoswalking.movie
Godzilla vs. Kong,114,English,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",2021-03-24,"Action, Science Fiction, Thriller","giant monster, dinosaur, creature feature, kaiju, sign languages, giant ape, godzilla, monsterverse, robot dinosaur, king kong","Kaylee Hottle, Brian Tyree Henry, Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall",Adam Wingard,"Max, Max Amazon Channel, TNT, TBS, tru TV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Legendary Pictures,https://www.warnerbros.com/movies/godzilla-vs-kong
#Blue_Whale,93,Russian,"The story of a girl who, in an attempt to understand the mysterious suicide of her younger sister, embarks on a dangerous game, hoping to stop the curators of the ""death group"" pushing teenagers to suicide.",2021-10-07,"Thriller, Horror, Drama","found footage, internet legend, screenlife","Ekaterina Stulova, Olga Pipchenko, Anna Potebnya, Timofey Eletskiy, Diana Shulmina",Anna Zaytseva,,,,"Bazelevs Production, KION",Unknown
They Talk,96,Italian,"Alex, a sound engineer, accidentally records mysterious voices: disturbing messages from the afterlife who warn him against an imminent and terrifying danger. Amanda, with whom he shares a terrible secret, re-emerges from his past. The appearance of the young woman triggers chilling paranormal phenomena that leave behind a trail of corpses. Is she the danger the voices of the dead speak about?",2021-07-29,"Horror, Mystery, Thriller",None,"Aciel Martinez Pol, Jonathan Tufvesson, Hal Yamanouchi, Margaux Billard, Sydney White",Giorgio Bruno,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Bartlebyfilm, PFA Films, Vision Distribution, Run Film Productions",https://www.visiondistribution.it/film/they-talk/
The Forever Purge,103,English,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,2021-06-30,"Horror, Action, Thriller","texas, sequel, prequel, murder, desert, purge, family surviving alone, guns and weapons","Josh Lucas, Will Patton, Ana de la Reguera, Willow Beuoy, Leven Rambin",Everardo Gout,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Blumhouse Productions, Platinum Dunes, Universal Pictures, Perfect World Pictures, Man in A Tree",https://www.theforeverpurge.com
The Boss Baby: Family Business,107,English,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,2021-07-01,"Animation, Comedy, Adventure, Family","baby, boss, sequel, sibling, family","Jeff Goldblum, Alec Baldwin, Ariana Greenblatt, James Marsden, Amy Sedaris",Tom McGrath,"fuboTV, Peacock Premium, USA Network ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","DreamWorks Animation, Universal Pictures",https://www.dreamworks.com/movies/the-boss-baby-2
