Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
Miss Hobbs,60,English,"She was a very modern young woman, was Miss Hobbs. Her ideas were about fifty years ahead of time. For one thing she hated men, thought them all brutes. But love has a way of smashing such an idea. Then she went in for barefoot dancing, futurist art and other advanced notions. Well, the upshot of it was the young man took upon himself to tame her, to make her a regular girl.",1920,Comedy,lost film,"Julanne Johnston, Harrison Ford, Wanda Hawley, Walter Hiers, Helen Jerome Eddy",Donald Crisp,,,,Realart Pictures Corporation
Christian Wahnschaffe I: Weltbrand,79,Unknown,Weltbrand is the first part of the two-part silent movie Christian Wahnschaffe.,1920,Drama,None,"Fritz Kortner, Theodor Loos, Hermann Vallentin, Conrad Veidt, Lillebil Ibsen",Urban Gad,,,,
The Flapper,88,English,A Southern teen at a ritzy boarding school gets into mischief while acting the sophisticated grownup to impress a suave gentleman and match wits with a pair of jewel thieves.,1920,Comedy,"boarding school, female protagonist, silent film, flapper","Theodore Westman Jr., William P. Carleton, Warren Cook, Olive Thomas, Katherine Johnston",Alan Crosland,,,,Selznick Pictures Corporation
The Copperhead,70,English,A farmer in Illinois played by Lionel Barrymore is recruited by Abraham Lincoln to pose as a copperhead during the Civil War.,1920,Drama,None,"Arthur Rankin, William P. Carleton, Doris Rankin, Lionel Barrymore, Jack Ridgeway",Charles Maigne,,,,Paramount
The Mollycoddle,86,English,An American who has lived much of his life outside the country returns to Arizona for the first time in years and encounters villainy.,1920,"Adventure, Comedy, Romance",None,"Douglas Fairbanks, Morris Hughes, Wallace Beery, Ruth Renick, Paul Burns",Victor Fleming,,,,
The Untamed,0,English,"A cowpuncher by the name of Whistling Dan is adopted by a rancher, Joe Cumberland (James O. Barrows). His daughter, Kate  is immediately attracted to Dan, but Cumberland discourages the union since he thinks the young man is too wild for her.",1920,Western,None,"George Siegmann, Philo McCullough, James O. Barrows, Pauline Starke, Tom Mix",Emmett J. Flynn,,,,Fox Film Corporation
Flying Pat,50,English,"Wild flapper Patricia Van Nuys decides to become a pilot like her husband Robert, but with a difference--she wants to become the first woman to cross the Atlantic Ocean by airplane. Capt. Endicott, a friend of Robert's, offers to teach her how to fly. One day while aloft in the plane, the craft takes a sudden nosedive and crashes. The pair walk away uninjured and find shelter in a roadhouse. Robert, upon hearing of this, becomes jealous of Pat's spending so much time with Endicott, which angers Pat. She decides to leave Robert and slips out of the house to catch an evening train, but unfortunately, Endicott is also aboard the train. Robert finds out about that, too. Complications ensue.",1920,Comedy,"jealousy, atlantic ocean, marriage, pilot, airplane crash, train, flapper","James Rennie, Harold Vizard, Morgan Wallace, Tom Blake, Dorothy Gish",F. Richard Jones,,,,New Art Film Company
From Morn to Midnight,72,German,"A cashier in a bank in a small German town is alerted to the power of money by the visit of a rich Italian lady. He embezzles 60,000 Marks and leaves for the capital city, where he attempts to find satisfaction in politics, sport, love and religion.",1920,"Crime, Comedy","expressionism, bank cashier, german expressionism","Ernst Deutsch, Adolf E. Licho, Roma Bahn, Hans Heinrich von Twardowski, Erna Morena",Karlheinz Martin,,,,Ilag-Film
The Parson's Widow,94,Swedish,"A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problems--first, the widow is old enough to be his grandmother, and second, he is already engaged to another woman.",1920,"Comedy, Drama","jealousy, cemetery, wedding, love potion, drunkenness, parson, magic spell","Hildur Carlberg, Einar Röd, Greta Almroth, Emil Helsengreen, Olav Aukrust",Carl Theodor Dreyer,,,,SF Studios
Overland Red,60,English,"Overland Red, a tramp prospector, and Collie, the boy he has befriended, stumble across an aged miner in the last stages of starvation, whose pockets reveal the map of a secret mine and a bag of gold dust.",1920,Western,None,"David B. Gally, Harold Goodwin, Harry Carey, Vola Vale, Charles Le Moyne",Lynn Reynolds,,,,Universal Film Manufacturing Company
The Head of Janus,107,German,"The film was an unauthorized adaptation of Robert Louis Stevenson's novel The Strange Case of Dr. Jekyll and Mr. Hyde, but the source material went unrecognized by some of the German media due to changes in the characters' names.  Released in 1920, this is one of Murnau's lost films. While the film itself does not survive, the scripts and related production notes do. Because the film is lost, its full length is unknown.  Dr. Warren is the Dr. Jekyll character who changes into Mr. O'Connor, a parallel of Mr. Hyde. This transformation is brought about, not by experimentation with chemicals as in Stevenson's original, but through the supernatural agency of a bust of Janus (the Roman god of duality), which Warren purchases in the opening sequence as a gift for his sweetheart, Jane. When she refuses the gift, horrified, Warren is forced to keep the statuette himself.",1920,"Horror, Science Fiction","double life, jekyll and hyde","Margarete Schlegel, Willy Kaiser-Heyl, Magnus Stifter, Bela Lugosi, Conrad Veidt",F. W. Murnau,,,,Lipow-Film
Godless Men,73,English,"On board his trading schooner in the South Pacific, tough sea captain Black Pawl confronts his own son, who has grown up in his father's shadow and reflects only his dark side.",1920,Drama,None,"John Bowers, Helene Chadwick, James Pier Mason, Russell Simpson, Alec B. Francis",Reginald Barker,,,,Reginald Barker Productions
Dinty,72,English,Dinty is a newsboy whose fight to care for his ailing mother leads him into conflicts with the other boys on the street and then with drug smugglers in Chinatown.,1920,"Adventure, Comedy","drug smuggling, san francisco, california, chinatown, pendulum, tuberculosis, newsboy, sick mother","Aaron Mitchell, Anna May Wong, Wesley Barry, Noah Beery, Colleen Moore","Marshall Neilan, John McDermott",,,,Marshall Neilan Productions
Bleak House,81,English,'The story of Lady Dedlock's secret and the tragic consequences of its exposure.' (British Film Institute),1920,,None,"Constance Collier, E. Vivian Reynolds, Berta Gellardi, Norman Page, Clifford Heatherley",Maurice Elvey,,,,Ideal Films
Trumpet Island,19,English,Richard moves to a remote island to escape from the memory of Eve. Who had been forced to marry another man. But fate still has more in store.,1920,Drama,None,"Josef Swickard, Marguerite De La Motte, Hallam Cooley, Wallace MacDonald, Arthur Hoyt",Tom Terriss,,,,
Erotikon,97,Swedish,"Erotikon is a 1920 Swedish romantic comedy film directed by Mauritz Stiller, starring Tora Teje, Karin Molander, Anders de Wahl and Lars Hanson. It is based on the 1917 play A kék róka by Ferenc Herczeg. The story revolves around an entomology professor obsessed with the sexual life of bugs, and his easygoing wife who is courted by two suitors.",1920,"Romance, Drama, Comedy","silent film, partially lost film","Tora Teje, Lars Hanson, Karin Molander, Anders de Wahl, Elin Lagergren",Mauritz Stiller,,,,SF Studios
Double Speed,50,English,"Auto racer Speed Carr enters a marathon race across the United States, from New York to Los Angeles. He encounters numerous obstacles not related to the race and must switch identities and vehicles before he can finish.",1920,"Comedy, Drama",None,"Theodore Roberts, Lucien Littlefield, Wanda Hawley, Tully Marshall, Wallace Reid",Sam Wood,,,,Famous Players-Lasky Corporation
Genuine: The Tragedy of a Vampire,88,German,"Since completing a portrait of Genuine, a high priestess, Percy becomes irritable and withdrawn. He loses interest in painting and refuses to see his friends, preferring to spend his time alone with the portrait in his study. After turning down a wealthy patron's offer to buy the picture, Percy falls asleep while reading stories of Genuine's life. Genuine comes to life from the painting and escapes.  The film's sets were designed by the Expressionist painter César Klein.",1920,Horror,vampire,"Harald Paulsen, Ernst Gronau, Fern Andra, Albert Bennefeld, Hans Heinrich von Twardowski",Robert Wiene,,,,Decla-Bioscop
The Sagebrusher,0,English,A friend of a Montana sagebrusher advertises for a potential wife for him.,1920,Western,silent film,"Marguerite De La Motte, Noah Beery, Arthur Morrison, Roy Stewart, Betty Brice",Edward Sloman,,,,"Great Authors Pictures, Pathé Exchange"
Something New,57,English,"A young woman visiting in Mexico is kidnapped by a gang of bandits, who drag her through the rugged wilderness to their hideout. She manages to leave word for her friend Bill, who knows the country well. But when Bill cannot find a horse, his only available form of transportation is his roadster. Nevertheless, he is determined to come to her rescue, even though it means trying to drive the car across miles of rocky, broken terrain.",1920,"Western, Adventure","silent film, off road, woman director","Nell Shipman, Bert Van Tuyle, Merrill McCormick, L.M. Wells","Nell Shipman, Bert Van Tuyle",,,Kino Now ,Nell Shipman Productions Inc.
Headin' Home,71,English,"The ""true story"" of baseball great Babe Ruth; Ruth plays himself.",1920,"Comedy, Drama",None,"Frances Victory, Margaret Seddon, Ruth Taylor, Babe Ruth, William Sheer",Lawrence C. Windom,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel ",,,"Kessel & Baumann, Yankee Photo Corporation"
Wolf Tracks,20,English,Wolf Tracks is a 1920 silent Western,1920,Western,None,"Jim Corey, Hoot Gibson, Tom London, Thelma Percy, Charles Newton",Mack V. Wright,,,,Universal Film Manufacturing Company
Kohlhiesel's Daughters,64,German,"Somewhere in Southern Bavaria Xaver wants to marry Gretel, but her father Kohlhiesel wants his elder daughter Liesel to marry first. The problem is, nobody wants to marry her, because she is too brutal. Seppel suggests, that he should marry Liesel first, get rid of her and then he can marry Gretel...",1920,"Comedy, Romance",None,"Emil Jannings, Jakob Tiedtke, Henny Porten, Willy Prager, Gustav von Wangenheim",Ernst Lubitsch,,,,Messter Film
Sumurun,115,German,"The favorite slave girl of a tyrannical sheik falls in love with a cloth merchant. Meanwhile, a hunchback clown suffers unrequited love for a traveling dancer who wants to join the harem.",1920,"Adventure, Drama, Romance",None,"Pola Negri, Aud Egede-Nissen, Ernst Lubitsch, Jenny Hasselqvist, Paul Wegener",Ernst Lubitsch,,,,Projektions-AG Union
Monika Vogelsang,0,German,,1920,Drama,None,"Henny Porten, Ernst Deutsch, Paul Hartmann, Ilka Grüning, Wilhelm Diegelmann",Rudolf Biebrach,,,,
Anna Karenina,66,German,,1920,Drama,None,"Heinrich Peer, Lya Mara, Rudolf Forster, Olga Engl, Johannes Riemann",Frederic Zelnik,,,,Zelnik-Mara-Film
Desert Love,0,English,"Murderous bandits shoot up a town and kill the sheriff. But before he dies, the lawman leaves behind a list of the men responsible for his murder. Twenty-five years later, his son, Buck Marston has grown up and followed in his father's footsteps by becoming a sheriff.",1920,Western,None,"Eva Novak, Lester Cuneo, Francelia Billington, Charles K. French, Tom Mix",Jacques Jaccard,,,,Fox Film Corporation
Tipped Off,0,English,"Ranchmen try to play a joke on one of their associates by signing his name to a letter addressed to Sarah Smith, who has advertised in a matrimonial journal. A mix-up occurs on the day of the arrival of the lady when a younger woman, sent to buy stock, also appears on the scene and is mistaken for the prospective bride.",1920,Western,None,"Gertrude Olmstead, Jim Corey, Jack Walters, Hoot Gibson, Charles Newton",Albert Russell,,,,Universal Film Manufacturing Company
Officer 666,50,English,"Upon learning that notorious art thief Alf Wilson plans to steal his valuable paintings, idle millionaire Travers Gladwyn decides to amuse himself by guarding his own home. After bribing Policeman Phelan, Officer 666, with a $500 bill, Travers dons the officer's uniform and identity. When Wilson appears at his mansion, Travers questions him and discovers that Wilson is posing as Travers, claiming that he is packing up his paintings for safe keeping. ...",1920,Comedy,silent film,"Priscilla Bonner, Jean Calhoun, Tom Moore, Kate Lester, Raymond Hatton",Harry Beaumont,,,,Goldwyn Pictures Corporation
Fred Windemere,10,English,The misadventures of a hotel bell hop played by Hank Man,1920,Comedy,None,"Hank Mann, Jess Weldon, Madge Kirby, Vernon Dent",Fred Windemere,,,,Hank Mann Comedies
Suds,75,English,"Amanda Afflick is a lovesick laundress who daydreams about customer Horace Greensmith and cherishes the shirt he brought in for washing eight months and sixteen days ago. She tells her fellow workers that the garment belongs to her fiancé, a lord. Just wait, Amanda boasts, one day his lordship will return for his wash — and for her.",1920,"Comedy, Drama, Romance",laundry,"Harold Goodwin, Albert Austin, Darwin Karr, Rose Dione, Mary Pickford",John Francis Dillon,,,,"United Artists, Mary Pickford Company"
Narayana,61,French,"Loosely based on Balzac's novel ""La peau de chagrin"", the story revolves around a man who steals a small, magical figurine named Narayana.",1920,Drama,based on novel or book,"Laurence Myrga, Charles Norville, Edmond van Daële, Marcelle Souty, Marguerite Madys",Léon Poirier,,,,Gaumont Série Pax
Prairie Trails,0,English,"Tex Benton (cowboy star Tom Mix) wants to marry Janet McWhorter (Kathleen O'Connor), but her father (Charles K. French) will give his blessings only if Tex works on his sheep ranch. Tex, a cattleman through and through, refuses and gets his aggressions out by stirring things up at the local saloon.",1920,"Comedy, Western",silent film,"Kathleen O'Connor, Sid Jordan, Gloria Hope, Charles K. French, Tom Mix",George Marshall,,,,Fox Film Corporation
"Number, Please?",25,English,"While at an amusement park, trying vainly to forget the girl he has lost, a young man sees the girl with her new boyfriend. When her dog gets loose in the park, both suitors have to help her catch it. Then, the girl's uncle, a balloonist, gives her a pass for two in his balloon, provided that her mother approves. She then offers to take along the first of her admirers who is able to get her mother's consent.",1920,Comedy,silent film,"Sunshine Sammy Morrison, Mildred Davis, Roy Brooks, Hal Roach, Harold Lloyd",Hal Roach,Criterion Channel ,,,Rolin Films
Within Our Gates,74,English,"Abandoned by her fiancé, an educated black woman with a traumatizing past dedicates herself to helping a near bankrupt school for impoverished black children.",1920,"Drama, Romance, Crime","school, silent film, reverend","James D. Ruffin, Jack Chenault, Charles D. Lucas, Flo Clements, Evelyn Preer",Oscar Micheaux,"fuboTV, MGM Plus Amazon Channel, MUBI, MUBI Amazon Channel, Fandor Amazon Channel, Cultpix ",,,Micheaux Book & Film Company
Stop Thief,50,English,"When Jack Dougan and Snatcher Nell, partners in crime as well as love, decide to purloin the gifts at the wedding of Madge Carr to James Cluney, Nell poses as a maid to gain entrance to the household. Soon after, articles begin to disappear and Madge's father, a kleptomaniac, begins to feel guilty, while the groom almost suspects himself.",1920,Comedy,None,"Hazel Daly, Irene Rich, Tom Moore, Kate Lester, Molly Malone",Harry Beaumont,,,,Goldwyn Pictures Corporation
Manolescu's Memoirs,0,German,,1920,"Drama, Crime",lost film,"Rudolf Forster, Clementine Plessner, Hedda Vernon, Käte Oswald, Conrad Veidt",Richard Oswald,,,,Richard Oswald Produktion
Why Change Your Wife?,90,English,"Robert and Beth Bordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort.",1920,"Comedy, Drama, Romance","swimming pool, resort, music recital","Sylvia Ashton, Bebe Daniels, Theodore Kosloff, Thomas Meighan, Gloria Swanson",Cecil B. DeMille,,,,"Famous Players-Lasky Corporation, Paramount"
The Strongest,0,English,"The Strongest is a 1920 American silent drama film directed by Raoul Walsh and starring Renée Adorée, Carlo Liten, Harrison Hunter, Beatrice Noyes, Florence Malone, and Jean Gauthier DeTrigny. It is based on the 1919 French novel Les Plus Fort by Georges Clemenceau.",1920,Drama,None,"Renée Adorée, Harrison Hunter, Carlo Liten, Florence Malone, Madame Tressida",Raoul Walsh,,,,
High and Dizzy,26,English,"A tipsy doctor encounters his patient sleepwalking on a building ledge, high above the street.",1920,Comedy,silent film,"William Gillespie, Mildred Davis, Roy Brooks, Wally Howe, Harold Lloyd",Hal Roach,"Max, Max Amazon Channel, Criterion Channel ",,,Rolin Films
Haunted Spooks,25,English,"After numerous failed attempts to commit suicide, our hero (Lloyd) runs into a lawyer who is looking for a stooge to stand in as a groom in order to secure an inheritance for his client (Davis). The inheritance is a house, which her scheming uncle ""haunts"" so that he can scare them off and claim the property.",1920,Comedy,"haunted house, silent film","William Gillespie, Sammy Brooks, Mildred Davis, Wally Howe, Harold Lloyd","Hal Roach, Alfred J. Goulding",Criterion Channel ,,,Rolin Films
Distilled Love,25,English,Alice Howell is a simple milkmaid in love with color-blind artist Dick Smith. Oliver Hardy is a bootlegger who lures her to the wicked city to be a gypsy dancer on the street but then accuses her of having an illicit baby.,1920,,None,"Alice Howell, Eunice Murdock Moore, Richard Smith, Lee Morris, Oliver Hardy","Richard Smith, Vin Moore",,,,
The Idol Dancer,104,English,"A religious zealot and his nephew are thrown together on a South Seas Island with an alcoholic beach comber and a native dancer. A battle to see who will ""civilize"" whom ensues.",1920,Drama,None,"Creighton Hale, Richard Barthelmess, George MacQuarrie, Kate Bruce, Clarine Seymour",D.W. Griffith,,,,D.W. Griffith Productions
Hitchin' Posts,50,English,"Jefferson Todd and Louis Castiga, brothers-in-law, come to blows on a Mississippi River steamer when Todd discovers Castiga's presence there with a woman.",1920,Western,None,"Frank Mayo, C.E. Anderson, J. Farrell MacDonald, Duke R. Lee, Beatrice Burnham",John Ford,,,,Universal Film Manufacturing Company
The Scarecrow,19,English,Buster competes with another farmhand for the love of the farmer's daughter.,1920,Comedy,"silent film, farmer's daughter, short film","Buster Keaton, Joe Roberts, Sybil Seely, Edward F. Cline, Joe Keaton","Buster Keaton, Edward F. Cline",,,,"Joseph M. Schenck Productions, Metro Pictures Corporation"
Dangerous Business,50,English,A 1920 film directed by Roy William Neill.,1920,"Romance, Comedy",lost film,"Constance  Talmadge, Kenneth Harlan, George Fawcett, Mathilde Brundage, John Raymond",Roy William Neill,,,,Norma Talmadge Film Corporation
Pink Tights,0,English,"When a circus troupe comes to a small, extremely conservative New England town, the residents go to their minister to have him protest the scandalous fact that the female tightrope walker wears a pair of pink tights. When she has an accident and is forced to recuperate at the minister's house, he has to hide her in order to avoid even more of a scandal. Mazie Darton, a high-wire performer with a traveling circus, longs for a peaceful country life. Forced to stay in a small town while laid up with an injury, Darton is spurned by the conservative townspeople. Rev. Jonathon Meek, the local parson, befriends the circus troupe, especially Darton. But he, too, opens himself to criticism from his flock, who protest his closeness with the show people. Eventually, Darton's boyfriend arrives and the pair become closer. The parson fades from the scene as a possible mate for Darton, who ends up winning the hearts of the townspeople.",1920,Comedy,None,"Stanton Heck, Jack Perrin, Dave Dyas, Rosa Gore, Gladys Walton",B. Reeves Eason,,,,Universal Film Manufacturing Company
The Spiders: Part 2 - The Diamond Ship,105,German,"When last we saw Kay Hoog (millionaire adventurer, courageous hunk), he’d been beset with tragedy. Having escaped an ancient Incan city by the skin of his gleaming teeth, Hoog looked forward to a few years of settled life with his (amicably) captured Incan lovely, Naela. But the past struck quickly. Hoog’s arch-nemesis, the homicidal femme Lio Sha, murdered Naela on the very grounds of Hoog’s estate, prompting him to swear revenge upon her and her criminal organization, the Spiders. Now he must find them, as the Spiders continue their global quest for the Buddha-head Diamond. The head, it’s said, has the power to restore Asia to world dominance.",1920,"Adventure, Crime","spy, secret society, silent film, hidden treasure","Carl de Vogt, Friedrich Kühne, Ressel Orla, Rudolf Lettinger, Georg John",Fritz Lang,,,,Decla Film Gesellschaft Holz & Co.
Terror Island,55,English,"Inventor Harry Harper travels to the South Seas, where there is buried treasure belonging to a girl, Beverly West. Naturally, others are after the loot, and Beverly's father is being held captive by cannibals until she returns to them with a pearl that belongs to one of their idols. The climax consists of Harper saving Beverly from a safe which has been lowered into the sea.",1920,"Adventure, Mystery","south seas, cannibal, buried treasure","Eugene Pallette, Wilton Taylor, Lila Lee, Harry Houdini, Jack Brammall",James Cruze,,,,Paramount
Beyond the Barricade,100,Danish,"Family man Poul Berg is tempted by a questionable investement offer and indebts himself to a point where suicide seems like the only way out. His widow struggles to maintain even a simple standard of living for herself and their three children, who are fatally marked by their fathers deed. (stumfilm.dk)",1920,Drama,None,"Moritz Bielawski, Lili Beck, Gudrun Bruun Stephensen, Alf Blütecher, Axel Boesen",Holger-Madsen,,,,Nordisk Film Denmark
Die lebende Fackel,0,German,,1920,,None,"Rita Clermont, Margarete Kupfer, Dora Bergner, Josef Peterhans, Eugen Klöpfer",Joseph Delmont,,,,
