Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
We Bare Bears: The Movie,69,English,"When Grizz, Panda, and Ice Bear's love of food trucks and viral videos get out of hand, the brothers are now chased away from their home and embark on a trip to Canada, where they can live in peace.",2020-06-30,"Animation, Adventure, Family, Comedy, TV Movie","road trip, slice of life, police chase, talking animal","Eric Edelstein, Marc Evan Jackson, Demetri Martin, Keith Ferguson, Bobby Moynihan",Daniel Chong,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Cartoon Network Studios,https://www.warnerbros.com/movies/we-bare-bears-movie
Monster Hunter,104,English,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",2020-12-03,"Action, Fantasy, Adventure","giant monster, female soldier, another dimension, bow and arrow, based on video game, swordswoman, dimensional travel","Tony Jaa, Milla Jovovich, T.I., Ron Perlman, Diego Boneta",Paul W. S. Anderson,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Capcom, Constantin Film, Impact Pictures, Tencent Pictures, TOHO",https://www.monsterhunter.movie
The Babysitter: Killer Queen,101,English,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",2020-09-10,"Comedy, Horror","babysitter, sequel, satanic ritual, satanic cult, virgin sacrifice, horror comedy","Jenna Ortega, Samara Weaving, Emily Alyn Lind, Judah Lewis, Andrew Bachelor",McG,"Netflix, Netflix basic with Ads ",,,"Wonderland Sound and Vision, Boies/Schiller Film Group",https://www.netflix.com/title/81012366
The Gentlemen,113,English,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2020-01-01,"Action, Crime, Comedy","london, england, robbery, businessman, dark comedy, betrayal, marijuana, business, jewish american, gunfight, brutality, american abroad, irishman, scheme, gangsters","Henry Golding, Charlie Hunnam, Matthew McConaughey, Jeremy Strong, Michelle Dockery",Guy Ritchie,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Miramax, Toff Guy Films, Coach Films, STXfilms",https://www.miramax.com/movie/the-gentlemen
Life in a Year,107,English,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",2020-11-27,"Drama, Romance",None,"JT Neal, Chris D'Elia, Cara Delevingne, Jaden Smith, Cuba Gooding Jr.",Mitja Okorn,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, Overbrook Entertainment",Unknown
Emma.,125,English,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",2020-02-13,"Comedy, Romance","based on novel or book, matchmaking, english countryside, 19th century, georgian or regency era, matchmaker","Mia Goth, Anya Taylor-Joy, Johnny Flynn, Josh O'Connor, Callum Turner",Autumn de Wilde,,"Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store ","Working Title Films, Perfect World Pictures, Blueprint Pictures",https://www.focusfeatures.com/emma
The Lodge,108,English,"When a father is forced to abruptly depart for work, he leaves his children, Aidan and Mia, at their holiday home in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.",2020-01-16,"Drama, Horror, Thriller","suicide, winter, massachusetts, thanksgiving, stepmother, murder, snow, cabin, divorce, dead dog, ice skating, cult leader, religious cult, christmas","Jaeden Martell, Richard Armitage, Lia McHugh, Alicia Silverstone, Riley Keough","Veronika Franz, Severin Fiala","Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","FilmNation Entertainment, Hammer Film Productions",https://www.thelodgemov.com/
Mortal Kombat Legends: Scorpion's Revenge,80,English,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",2020-04-12,"Animation, Action, Fantasy","magic, ninja fighter, revenge, sorcerer, tournament, shaolin monk, fighting, based on video game, adult animation, god of thunder","Patrick Seitz, Jordan Rodrigues, Joel McHale, Ike Amadi, Jennifer Carpenter",Ethan Spaulding,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Animation,https://www.warnerbros.com/movies/mortal-kombat-legends-scorpions-revenge
I'm Thinking of Ending Things,135,English,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,2020-08-28,"Drama, Fantasy, Mystery, Thriller","farm, suicide, based on novel or book, winter, philosophy, poetry, dementia, surrealism, road trip, film in film, janitor, snow, school, psychological thriller, relationship, ice cream, blizzard, existentialism","Jessie Buckley, Toni Collette, David Thewlis, Jesse Plemons, Guy Boyd",Charlie Kaufman,"Netflix, Netflix basic with Ads ",,,"Likely Story, Projective Testing Service",http://www.netflix.com/title/80211559
The Father,96,English,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020-12-23,Drama,"london, england, loss of sense of reality, flat, dementia, mistaken identity, alzheimer's disease, based on play or musical, old man, memory loss, elderly man, father daughter relationship, fading memories, family caregiving","Imogen Poots, Olivia Williams, Mark Gatiss, Anthony Hopkins, Olivia Colman",Florian Zeller,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Trademark Films, F Comme Film, Ciné-@, Embankment Films, Film4 Productions, Canal+, Ciné+, Orange Studio, Les Films du Cru, AG Studios NYC, Simon Friend Entertainment, Viewfinder",https://www.sonyclassics.com/film/thefather
The Midnight Sky,118,English,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.,2020-12-10,"Science Fiction, Drama","based on novel or book, post-apocalyptic future, nuclear radiation, space travel, arctic polar circle region, end of the world, cancer, astronaut, space exploration, space adventure, 2040s, space walk","Kyle Chandler, Felicity Jones, David Oyelowo, George Clooney, Caoilinn Springall",George Clooney,"Netflix, Netflix basic with Ads ",,,"Smoke House Pictures, Syndicate Films, Anonymous Content, Truenorth Productions",https://www.netflix.com/title/80244645
The Mercenary,91,English,"When a mission in South America goes wrong a mercenary is left for dead, but he is nursed back to health and reborn with a new outlook on life. But his peaceful days are short-lived when mercenaries he used to work with cross his path again and he is forced to revisit and face his own demons.",2020-01-07,Action,None,"Dominique Vandenberg, Carmen Argenziano, Louis Mandylor, Manny Alva, Brad Ashten",Jesse V. Johnson,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",War Dog Productions,Unknown
Violet Evergarden: The Movie,140,Japanese,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2020-09-18,"Animation, Fantasy, Romance, Drama","slice of life, steampunk, doll, military, anime, letters, based on light novel","Haruka Tomatsu, Yui Ishikawa, Hidenobu Kiuchi, Daisuke Namikawa, Takehito Koyasu",Taichi Ishidate,"Netflix, Netflix basic with Ads ",,,"Kyoto Animation, ABC Animation, Pony Canyon, Bandai Namco Arts, Lantis, Heart Company, Miracle Bus",https://www.netflix.com/title/81193214
The Croods: A New Age,95,English,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",2020-11-25,"Animation, Family, Adventure, Fantasy, Comedy","sequel, prehistory","Ryan Reynolds, Cloris Leachman, Emma Stone, Nicolas Cage, Catherine Keener",Joel Crawford,Peacock Premium ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Universal Pictures, DreamWorks Animation",https://www.dreamworks.com/movies/the-croods-2
A Whisker Away,104,Japanese,"A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",2020-06-18,"Animation, Drama, Romance, Fantasy","mask, secret love, magic, transformation, supernatural, anthropomorphism, slice of life, unrequited love, school, cartoon cat, animal, parallel world, personal growth, anime, cat girl, isekai","Minako Kotobuki, Koichi Yamadera, Mirai Shida, Natsuki Hanae, Hiroaki Ogi","Junichi Sato, Tomotaka Shibayama","Netflix, Netflix basic with Ads ",,,Studio Colorido,https://www.netflix.com/title/81281872
Invasion,129,Russian,"Two years after the fall of the alien ship, the life of a young woman from Moscow has been changed forever. Her growing powers are now at the focus of both human and celestial investigation: an alien force takes an interest in her, and will stop short of nothing, including an invasion. Can love and compassion save humanity, when faced with a much greater and more demanding test this time?",2020-01-01,"Science Fiction, Drama, Action","extraterrestrial technology, survival, alien invasion, compassion, urban setting, family issues, being human, human alien love, urban survival","Alexander Petrov, Rinal Mukhametov, Yuriy Borisov, Irina Starshenbaum, Oleg Menshikov",Fyodor Bondarchuk,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Cinema Fund, Art Pictures Studio, Vodorod Film Company",Unknown
Hyungsu: Forbidden Love,71,Korean,"Seok-hyun, the younger brother of Kyu-hyun, comes between Eun-jung and Kyu-hyun. Seok-hyun, an archer, demands money from his brother and sister-in-law. When they are not accepted, they are overwhelmed with anger. On the other hand, Eunjung secretly sees another man pulled into the house and enjoyed the meeting, and I got caught by Seokhyun. Hyung-su is caught in a big weakness Eventually, she lends money to Seok-hyun. After that day, Seok-hyun continued looking for his sister-in-law and demanding money, When the sister-in-law says that he has no money, he wants her body...",2020-03-11,"Drama, Romance",softcore,"Han Seo-ah, Yeo Reum, Min Do-yoon, Im Cho-hee, Park Do-jin",Kim Jin-woo-II,,,,,Unknown
Sister-in-law's Taste,70,Korean,"Ha-ni who was on a honeymoon with her husband, Jae-ho, seems to be uncomfortable with her sister-in-law, Ye-ji. She is a freeloader who lives in her brother's house without any other job. When the close brother and sister's affection was being expressed boldly and the sister's obsession with her brother gets stronger day by day, Ha-ni got tired of her sister-in-law's behavior of entering their bedroom in her sexy underwear. Ha-ni goes to Ik-tae, the manager of the cabin and had a physical relationship. What could the real purpose of their trip to the mountain be, and what could be the fate of the married couple that is tangled like a thread around Ha-ni and her sister-in-law's relationship?",2020-06-10,"Drama, Romance",softcore,"Jo Yong-bok, Jung Won-II, James, Jin Joo, Tae Hee",Choi Jung-ja,,,,,Unknown
After We Collided,105,English,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,2020-09-02,"Romance, Drama","based on novel or book, love, teenage crush","Dylan Sprouse, Charlie Weber, Hero Fiennes Tiffin, Louise Lombard, Josephine Langford",Roger Kumble,"Netflix, FilmBox+, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Voltage Pictures, Offspring Entertainment, Frayed Pages Entertainment, Wattpad",Unknown
Holidate,104,English,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",2020-10-27,"Comedy, Romance","date, holiday, single, family dinner, family tension, late marriage, friend with benefits","Emma Roberts, Luke Bracey, Andrew Bachelor, Kristin Chenoweth, Frances Fisher",John Whitesell,"Netflix, Netflix basic with Ads ",,,Wonderland Sound and Vision,https://www.netflix.com/title/81034553
Wolfwalkers,103,English,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",2020-10-26,"Animation, Family, Adventure, Fantasy","friendship, wolf, magic, fairy tale, shapeshifting, wolf's lair, feral child, forest, woods, female protagonist, ireland, family, folklore, werewolf child, healer, wolves, irish folklore, hand drawn animation, father daughter relationship, mother daughter relationship, fantasy, 1600s, enchanted forest","Eva Whittaker, Sean Bean, Tommy Tiernan, Honor Kneafsey, Simon McBurney","Tomm Moore, Ross Stewart",Apple TV Plus ,,,"Cartoon Saloon, Melusine Productions, Value&Power Culture Communications, Film Fund Luxembourg, Fís Éireann/Screen Ireland, Broadcasting Authority of Ireland, Haut et Court, Canal+, RTÉ, OCS, Pôle Image Magelis, Folivari, GKIDS",http://wolfwalkersmovie.com/
Dangerous Lesson,85,Korean,"Kang-seo, a prestigious college student who lived as a tutor and a convenience store part-timer received a tutoring request one day. Kang-seo, who was tutoring the gangster's daughter, goes to bed with the gangster's newly remarried wife, and is soon threatened by the gangster.",2020-10-02,Drama,softcore,"Sang Woo, Sae Bom, Sung Yeon, Seung Ha, Yoo Jung",Richard Kim,,,,,https://gamma.app/public/Dangerous-Lesson-2020-FuLL-Movie-1my4r85bdf4w92w?mode=doc
"Happy Halloween, Scooby-Doo!",77,English,"Scooby-Doo and the gang team up with their pals, Bill Nye The Science Guy and Elvira Mistress of the Dark, to solve this mystery of gigantic proportions and save Crystal Cove!",2020-10-06,"Family, Animation, Mystery, Comedy","friendship, halloween, talking dog, friends, family","Grey DeLisle, Kate Micucci, Frank Welker, Cassandra Peterson, Matthew Lillard",Maxwell Atoms,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Warner Bros. Animation,https://www.warnerbros.com/movies/happy-halloween-scooby-doo
The Silencing,93,English,A reformed hunter becomes involved in a deadly game of cat and mouse when he and the local sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,2020-07-18,"Thriller, Action","small town, sheriff, hunter, shotgun, investigation, woods, disappearance, serial killer, alcoholic, native american reservation","Nikolaj Coster-Waldau, Hero Fiennes Tiffin, Melanie Scrofano, Annabelle Wallis, Zahn McClarnon",Robin Pront,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Anova Pictures, Silencing Canada Productions, Wildling Pictures, Madrona Drive",Unknown
Synchronic,101,English,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",2020-10-23,"Science Fiction, Drama, Thriller, Horror","brain tumor, new orleans, louisiana, time travel, swamp, surrealism, alcoholism, disappearance, best friend, drug overdose, paramedic, synthetic drug, drug, pineal gland","Anthony Mackie, Ramiz Monsef, Jamie Dornan, Alexia Ioannides, Katie Aselton","Justin Benson, Aaron Moorhead","Netflix, Peacock Premium, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Patriot Pictures, Rustic Films, XYZ Films, Love & Death Productions, Pfaff & Pfaff Productions",https://www.wellgousa.com/films/synchronic
Pieces of a Woman,127,English,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",2020-12-30,Drama,"loss of loved one, boston, massachusetts, midwife, grief, home birth, grieving, giving birth, loss of child","Vanessa Kirby, Sarah Snook, Ellen Burstyn, Iliza Shlesinger, Shia LaBeouf",Kornél Mundruczó,"Netflix, Netflix basic with Ads ",,,"Bron Studios, Little Lamb Productions, Proton Cinema",http://www.netflix.com/title/81128745
Knuckledust,105,English,"When Police kicks open the doors of the elite underground fight club Knuckledust, they find seven levels of hell, filled with the dead bodies of countless fighters, assassins and goons. Only one man, beaten up to a pulp, is still breathing: Hard Eight.",2020-12-08,"Action, Thriller",None,"Sébastien Foucan, Gethin Anthony, Kate Dickie, Moe Dunford, Chris Patrick-Simpson",James Kermack,"Amazon Prime Video, Hulu, Starz Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Featuristic Films, Head Gear Films, Metrol Technology, The Project, Trigger Films",Unknown
Skydog,109,English,"After a high school senior working on his pilot’s license rescues a dog named Oreo, he finds out his mom is a CIA agent who’s been captured. He teams up with Oreo and a new friend to find his mother and uncover double agents inside the CIA.",2020-10-20,"Action, Drama, Adventure, Mystery, Thriller",None,"Daniel Knudsen, Rosie Berryer, Christopher Veldhuizen, Dean Cain, Mimi Sagadin ","Tim Kaiser, Daniel Knudsen","Amazon Prime Video, Hoopla, Pure Flix, UP Faith & Family Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Amazon Video, Google Play Movies, YouTube, Vudu ",Crystal Creek Media,Unknown
Another Round,117,Danish,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,2020-09-24,"Comedy, Drama","friendship, experiment, copenhagen, denmark, alcohol, family relationships, teacher, teacher student relationship, intoxication, social pressure, pressure to perform","Lars Ranthe, Magnus Millang, Maria Bonnevie, Thomas Bo Larsen, Mads Mikkelsen",Thomas Vinterberg,"Amazon Prime Video, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Zentropa Entertainments, Film i Väst, Topkapi Films, Zentropa International Sweden, Zentropa International Netherlands",http://www.samuelgoldwynfilms.com/another-round/
The Return,90,English,"After the death of his father, a brilliant college student returns to his family home where he learns that the horrors from his childhood aren't as dead and gone as he once thought.",2020-09-05,"Horror, Science Fiction",None,"Richard Harmon, Sara Thompson, Erik Athavale, Marina Stephenson Kerr, Kristen Sawatzky",BJ Verot,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Strata Studios,Unknown
Shortcut,80,English,A group of five classmates is trapped inside their school bus after a mysterious creature invade the road. Time runs and every passing minute decreases their survival chances against the constant threats of that unknown entity.,2020-09-25,"Horror, Adventure, Fantasy","monster, creature, school bus, tunnel, road, teenager, drained of blood","Molly Dew, Sophie Jane Oliver, Zak Sutcliffe, Jack Kane, Zanda Emlano",Alessio Liguori,"Amazon Prime Video, Hulu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","Sternenberg Films, Mad Rocket Entertainment, Regione Lazio, Camaleo Film, Play Entertainment",Unknown
Extraction,116,English,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.",2020-04-24,"Action, Thriller","mercenary, crime boss, mumbai (bombay), india, rescue mission, based on comic, based on graphic novel, dhaka (dacca), bangladesh","Golshifteh Farahani, Chris Hemsworth, Pankaj Tripathi, Rudhraksh Jaiswal, Randeep Hooda",Sam Hargrave,"Netflix, Netflix basic with Ads ",,,"AGBO, Thematic Entertainment, TGIM Films",https://www.netflix.com/title/80230399
The Willoughbys,92,English,"When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their Old-Fashioned values to the contemporary world in order to create something new: The Modern Family.",2020-04-22,"Animation, Comedy, Family",None,"Terry Crews, Will Forte, Martin Short, Alessia Cara, Maya Rudolph",Kris Pearn,"Netflix, Netflix basic with Ads ",,,"Bron Animation, Creative Wealth Media Finance, Bron Studios",https://www.netflix.com/title/80239482
Ava,96,English,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,2020-07-02,"Action, Thriller, Crime","assassin, secret organization, murder, female assassin, professional assassin, secret, thriller","Jessica Chastain, Common, Colin Farrell, John Malkovich, Geena Davis",Tate Taylor,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Freckle Films, Voltage Pictures, Vertical Entertainment",https://vvs.ca/fr/film/vvs3282-ava-vf/
Host,57,English,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realise they might not survive the night.",2020-12-04,"Horror, Thriller, Mystery","quarantine, computer, isolation, evil spirit, internet, psychic, internet chat, found footage, lockdown, covid-19, zoom call","Caroline Ward, Radina Drandova, Jemma Moore, Haley Bishop, Emma Louise Webb",Rob Savage,"AMC+ Amazon Channel, AMC+, Hoopla, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Shadowhouse Films, BOO-URNS",https://www.shudder.com/movies/watch/host/b89c77f392b1c5e8
American Pie Presents: Girls' Rules,95,English,"It's Senior year at East Great Falls. Annie, Kayla, Michelle, and Stephanie decide to harness their girl power and band together to get what they want their last year of high school.",2020-10-06,Comedy,"high school, teen movie, spin off, pie","Lizze Broadway, Natasha Behnam, Piper Curda, Darren Barnet, Madison Pettis",Mike Elliott,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Universal 1440 Entertainment, Universal Pictures, Capital Arts Entertainment",https://mentalitch.com/important-rules-when-writing-for-a-magazine/
Dune Drifter,98,English,"When the trainee pilot and her mortally wounded gunner are shot down, they crash land on a nearby planet. An enemy craft offers the chance of spare parts to fix her ship, but then she spots another survivor - an enemy alien soldier with no intention of letting her escape.",2020-10-24,Science Fiction,None,"Daisy Aitkens, Simon Dwyer-Thomas, Charlotte Mounter, Phoebe Sparrow, Alastair Kirton",Marc Price,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Dead Pixel Productions,Unknown
Mulan,115,English,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",2020-09-04,"Adventure, Fantasy, Drama, Action","martial arts, hero, china, fake identity, honor, east asian lead, heroine, based on myths, legends or folklore, live action and animation, chinese girl, live action remake","Jason Scott Lee, Donnie Yen, Gong Li, Jet Li, Liu Yifei",Niki Caro,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ",,"Walt Disney Pictures, Good Fear, Jason T. Reed Productions",https://movies.disney.com/mulan-2020
Unhinged,90,English,"Rachel is a divorced single mother whose bad day gets even worse. She's running late to drop her son off at school when she honks her horn impatiently at a fellow driver during rush-hour traffic. After an exchange of words, she soon realizes that the mysterious man is following her and her young son in his truck. A case of road rage quickly escalates, at horrifyingly psychotic proportions, into full-blown terror as Rachel discovers the psychopath's sinister plan for revenge. He is single-mindedly determined to teach her a deadly lesson.",2020-07-16,"Action, Thriller","psychopath, aggression, stalker, murder, arson, single mother, confrontation, divorced, threat, pickup truck, road rage, retribution, phone call, consequences, psychotic break, road thriller, murderous intentions, fired from a job, horrific crime, older sister younger brother, intense, unstoppable, terrorized, fight for life, edge-of-your-seat","Russell Crowe, Austin P. McKenzie, Caren Pistorius, Gabriel Bateman, Jimmi Simpson",Derrick Borte,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Solstice Studios, Burek Films, Ingenious Media, Altitude Film Entertainment",https://www.unhingedmovie.com/
Bosomy Mom,69,Korean,"Da-hee gets married to Min-soo who is older than her. Thanks to him, he also gets a son who is not too old, Jae-hyuk, who she tries to get acquainted with, albeit awkwardly. After staying with Na-yeon, she suddenly has to meet Jae-hyuk, and Na-yeon has a date with Jae-hyuk. Min-soo is surprised to find three people coming back home from a date. It made him angry to see his son with two women. Right away, Min-soo seeks Da-hee and asks about Na-yeon. Na-yeon met Min-soo secretly. However, Da-hee who is aware of Min-soo and Da-hee's relationship, shares this fact to Jae-hyun.",2020-05-06,"Drama, Romance",softcore,"James, Shin Yeon-ho, Han Yi-seul, Yoo Jung",Lee Dong-Joon,,,,,Unknown
Tenet,150,English,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",2020-08-22,"Action, Thriller, Science Fiction","assassin, espionage, spy, time travel, mumbai (bombay), india, arms dealer, terrorism, terrorist attack, nuclear weapons, terrorist plot, backwards, alternate timeline, oslo, norway, time paradox, kyiv (kiev), ukraine","Robert Pattinson, Kenneth Branagh, John David Washington, Dimple Kapadia, Elizabeth Debicki",Christopher Nolan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures, Syncopy",https://www.tenetfilm.com/
Over the Moon,100,English,"Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess.",2020-10-16,"Animation, Adventure, Family, Fantasy","moon, rocket","Phillipa Soo, Cathy Ang, John Cho, Ken Jeong, Robert G. Chiu",Glen Keane,"Netflix, Netflix basic with Ads ",,,"Janet Yang Productions, Glen Keane Productions, Pearl Studio",https://www.netflix.com/title/80214236
