Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
Hamlet,112,German,"A free adaptation of Shakespeare′s drama. The Danish queen masquerades her daughter as a boy, and thus, the girl lives her life as 'Prince' Hamlet. Her father poisoned by a venomous snake placed by the treacherous Claudius, Hamlet fakes madness to investigate without suspicion.",1921,Drama,None,"Asta Nielsen, Mathilde Brandt, Eduard von Winterstein, Paul Conradi, Heinz Stieda","Svend Gade, Heinz Schall",,,,Art-Film GmbH
On Location,10,English,"Snub is an street sweeper with OCD, living in a neighborhood full of fussy people. He is sweeping the street when he anticipates a cop who is about to throw some litter into the road and dashes over to catch it in his cart. He then tries to save a drunken man from falling into the road before stopping his cart to pick up a solitary leaf which has dared to fallen upon the ground. The eccentric and obsessed street sweeper meticulously disposes of the leaf but when he turns around he finds half the tree has shed its leaves at that very moment",1921,Comedy,None,"Mark Jones, Harry 'Snub' Pollard, George Rowe, Marie Mosquini, Noah Young",Charley Chase,,,,Rolin Films
Hard Luck,22,English,"A down on his luck young man makes several attempts at committing suicide but fails them too. He then finds himself becoming more confident through a series of petty adventures, to such an extent that this becomes his undoing.",1921,Comedy,"suicide attempt, silent film, short film","Buster Keaton, Joe Roberts, Bull Montana, Virginia Fox","Buster Keaton, Edward F. Cline",,,,Joseph M. Schenck Productions
Planetenschieber,0,German,,1921,Drama,None,"Carl de Vogt, Hermann Picha, Josefine Dora, Julius Falkenstein, Wilhelm Diegelmann",Reinhard Bruck,,,,
Colorado,50,English,"While in an army camp waiting to be discharged, Lt. Frank Hayden sees a fellow officer, Capt. Kincaid, attacking a girl. He stops Kincaid, thrashing him soundly in the process. However, to avoid a court-martial for striking a fellow officer, Hayden deserts and flees to the desert. He comes across Tom Doyle, who is stranded and dying of thirst, and takes Doyle back to his home. He meets and falls in love with Doyle's daughter Kitty.",1921,Western,None,"Frank Mayo, Gloria Hope, Lillian West, Charles Newton, Charles Le Moyne",B. Reeves Eason,,,,Universal Film Manufacturing Company
The Rowdy,50,English,"When retired New England skipper Captain Purcell finds Kit as a baby in a storm, he adopts the child, who grows up to be an adventurous youngster of the docks.",1921,,None,"Jack Mower, Charles Murphy, Rex De Rosselli, Gladys Walton, Anna Dodge",David Kirkland,,,,Universal Film Manufacturing Company
Lotus Blossom,70,English,"The film is perhaps the only remaining example of silent era cinema from a Chinese-American production company, and was co-written, co-directed (with Francis J. Grandon) and produced by James B. Leong, who changed his name from Leong But-jung after emigrating from Shanghai in 1913. Of the seven reels that originally comprised 'Lotus Blossom,' only one (the fifth, running for 12 minutes at 20fps) is known to survive. This remaining reel of film is now available on Disc 2 of the DVD Collection ""More Treasures from the American Film Archives,"" and was preserved by the UCLA Film and Television Archive.",1921,Drama,partially lost film,"Lady Tsen Mei, Goro Kino, Noah Beery, Tully Marshall, Yutaka Abe","Francis J. Grandon, James B. Leong",,,,
Cheated Hearts,50,English,"Barry Gordon, the older son of a Virginia colonel, inherits a taste for alcohol--a habit that caused his father's death. His brother, Tom, falls in love with Muriel Beekman, their guardian's daughter. Barry also loves her but feels rejected. Three years later, after extended travels, Barry learns that Tom, having been sent to Morocco by Mr. Beekman, has been captured by desert marauders and is being held for ransom. He begins a search for him and in Tangiers encounters the Beekmans and Kitty Van Ness. Barry and Muriel discover their love for each other, but he refuses to commit himself while Tom is still alive.",1921,Drama,tangier morocco,"Marjorie Daw, Warner Baxter, Herbert Rawlinson, Winter Hall, Doris Pawn",Hobart Henley,,,,Universal Film Manufacturing Company
Forever,0,English,"Architect Peter Ibbetson is hired by the Duke of Towers to design a building for him. Ibbetson discovers that the Duchess of Towers, Mary, is his now-grown childhood sweetheart. Their love revives, but Peter is sentenced to life in prison for an accidental killing. Mary comes to him in dreams and they are able to live out their romance in a dream world.",1921,"Drama, Romance",None,"Dolores Cassinelli, Elsie Ferguson, Montagu Love, Wallace Reid, George Fawcett",George Fitzmaurice,,,,
The Nut,74,English,Eccentric inventor Charlie Jackson tries to interest wealthy investors in his girlfriend's plan to help children from poor neighbourhoods.,1921,"Action, Comedy, Romance",inventor,"Douglas Fairbanks, Morris Hughes, Marguerite De La Motte, William Lowery, Gerald Pring",Theodore Reed,,,,Douglas Fairbanks Pictures
Uncharted Seas,0,English,"After her drunken husband Tom brings home three cabaret women, Lucretia can no longer bear the abuse and turns to Arctic explorer Frank, who has long loved her and promised to come back to her whenever she needs his help.",1921,Romance,None,"Rudolph Valentino, Robert Alden, Charles Hill Mailes, Alice Lake, Carl Gerard",Wesley Ruggles,,,,Metro Pictures Corporation
Fièvre,43,French,"Militis, a sailor, returns to a bar where he finds Sarah, the girl he once loved and is still attracted to. However, he is now married to an exotic woman who took care of him during an illness.",1921,Drama,"silent film, french impressionism","George Foottit, Edmond van Daële, Ève Francis, Gaston Modot, Elena Sagrary",Louis Delluc,,,,
The Four Horsemen of the Apocalypse,156,English,"Set in the years before and during World War I, this epic tale tells the story of a rich Argentine family, one of its two descending branches being half of French heritage, the other being half German. Following the death of the family patriarch, the man's two daughters and their families resettle to France and Germany, respectively. In time the Great War breaks out, putting members of the family on opposing sides.",1921,"War, Romance, Drama","epic, nurse, world war i, artist, tango, castle, duty, argentina, love affair, destruction, death, silent film, firing squad, four horsemen of the apocalypse, unfaithful wife, wealthy family, divided family, atonement","Rudolph Valentino, Alan Hale, Josef Swickard, Alice Terry, Pomeroy Cannon",Rex Ingram,,Amazon Video ,Amazon Video ,Metro Pictures Corporation
The Haunted House,19,English,"Buster Keaton is a bank teller who becomes involved with a hold-up, counterfeiters, and a theatrical troupe posing as spooks in a haunted house.",1921,"Comedy, Horror","haunted house, silent film, short film","Buster Keaton, Joe Roberts, Virginia Fox, Edward F. Cline, Natalie Talmadge","Buster Keaton, Edward F. Cline",,,,Joseph M. Schenck Productions
Tiger True,50,English,"Tiring of hunting big game in the jungle, Jack Lodge, son of a wealthy man, seeks adventure in the underworld district of a big city.",1921,"Adventure, Mystery",None,"Frank Mayo, Fritzi Brunette, Elinor Hancock, Al Kaufman, Walter Long",J.P. McGowan,,,,Universal Film Manufacturing Company
El Dorado,98,French,"In Granada in Spain, Sibilla works as a dancer in a squalid cabaret called El Dorado, struggling to earn enough to care for her sick child. The boy's father Estiria, a prominent citizen, refuses them both help and recognition, fearful of jeopardising the engagement of his adult daughter Iliana to a wealthy nobleman. Iliana however slips away from her engagement party to meet her real lover Hedwick, a Swedish painter. Sibilla, in desperation after a further rejection by Estiria, sees an opportunity to blackmail him by locking the lovers overnight in their meeting-place in the Alhambra.",1921,Drama,None,"Philippe Hériat, Ève Francis, Claire Prélia, Jaque Catelain, Marcelle Pradot",Marcel L'Herbier,,,,"Gaumont Série Pax, Gaumont"
Little Italy,50,English,"Rosa is told by her father that she must marry a man from her own clan. She refuses, and vows to marry the first man she meets. That man is Antonio, who is from a hated clan. Antonio is in love with Rosa, although she hates him. Despite this, she keeps her vow and marries him.",1921,Romance,None,"Norman Kerry, George Fawcett, Gertrude Norman, Jack Ridgeway, Alice Brady",George Terwilliger,,,,Realart Pictures Corporation
The Barbarian,58,English,"Elliot Straive is a college professor who has left the evils of civilization behind to raise his son Eric in the purity of the Canadian wilderness. James Heatherton sends Mark Grant to get the mining rights to Straive's land as vast deposits of iron ore have been discovered there. Grant arrives as the elder Straive lies dying and has written a final note to his absent son. Grant tears off the portion of the letter with Straive's signature and forges a concession to the mining rights above the signature. Heatherton, dissatisfied with the unwitnessed signature of a dead man, decides to to himself to get Eric Straive to sign the concession. He sends his family on ahead on vacation. The family hires Eric as a guide, thinking him to be a mere backwoods barbarian. Eric and Heatherton's daughter Floria fall in love, but the relationship falters when she confesses that she has lied to him about why they are there. Grant returns upon the scene and tries to force Eric to sign.",1921,,None,"Jane Novak, Monroe Salisbury, George Berrell, Elinor Hancock, J. Barney Sherry",Donald Crisp,,,,
The Kid,68,English,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,1921,"Comedy, Drama","angel, suicide attempt, fistfight, slapstick comedy, black and white, class differences, foundling, silent film, dream sequence, semi autobiographical, car theft, little tramp, illegitimate child, unwed mother, abandoned baby, out of wedlock child, raised like own child, good deed doer","Albert Austin, Jackie Coogan, Carl Miller, Charlie Chaplin, Edna Purviance",Charlie Chaplin,"fuboTV, Max, Max Amazon Channel, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, Criterion Channel, MGM Plus, Pure Flix, FlixFling, TCM ","Apple TV, Amazon Video, FlixFling ","Apple TV, Amazon Video, FlixFling ",Charles Chaplin Productions
The Play House,24,English,"After waking from the dream of a theater peopled entirely by numerous Buster Keatons, a lowly stage hand causes havoc everywhere he works.",1921,"Comedy, Fantasy","backstage, silent film, short film","Buster Keaton, Joe Roberts, Virginia Fox, Edward F. Cline, Joe Murphy","Buster Keaton, Edward F. Cline",,,,
The Killer,0,English,"Claire Adams as a girl forced to marry the man she suspects killed her father. When she refuses, she is virtually kept a prisoner along with kid-brother Frankie Lee until a handsome stranger (Jack Conway) rescues them.",1921,Western,lost film,"Jack Conway, Frank Campeau, Claire Adams, Tod Sloan, Frankie Lee","Jack Conway, Howard Hickman",,,,
The Rats,59,German,"Die Ratten was produced by actress and singer Grete Ly. Her company, Grete Ly-Film, made five films between 1919 and 1921. Die Ratten, which is based on the play of the same name by Gerhart Hauptmann, was the last one. Hauptmann, one of the most important promoters of literary naturalism, had received the Nobel Prize for Literature in 1912. The screen adaptation of his play is beautifully photographed in a realistic style by Karl Freund, one of best German cameraman of that time who also worked with directors such as Lang, Murnau, Dreyer, Dupont and Ruttmann. Moreover, the cast of Die Ratten also acts in a very naturalistic way, far from the affected expressionistic style. Die Ratten was made on a modest budget, but the collaboration of an excellent team produced a film that was ahead of its time.",1921,,None,"Emil Jannings, Lucie Höflich, Marija Leiko, Hermann Vallentin, Eugen Klöpfer",Hanns Kobe,,,,
Love and Burglars,30,Danish,"The merchant Blomberg is out in the countryside with his daughters and housekeeper when the idyll is suddenly shattered. The daughters head off to have fun with two young guys from Copenhagen who are on a road trip, and the vagabonds Pat and Patachon seize the chance to interfere for their own gain.  The preserved material is the original Swedish version titled 'Landsvägsriddare', translated to 'Tyvepak' in Danish. The film was a huge economic success to the then Swedish owned production company Palladium. It is the first film, in which Pat and Patachon appear as a team, although not in their final constellation: As always, Pat is played by Carl Schenstrøm, whereas Patachon is embodied by Aage Bendixen instead of Harald Madsen. There is another 'Tyvepak' from 1915, which is directed by Lau Lauritzen Sr. as well. This film is a heavily revised version of the 1915-film. (stumfilm.dk)",1921,Comedy,None,"Margot Linnet, Carl Schenstrøm, Pip Overbeck, Axel Hultman, Aage Bendixen",Lau Lauritzen Sr.,,,,Palladium Film
Danton,87,German,At the height of Reign of Terror Maximilien Robespierre orchestrates the trial and execution of several of his fellow leading French revolutionaries including Georges Danton.,1921,"History, Drama","french revolution, guillotine","Emil Jannings, Werner Krauß, Ferdinand von Alten, Friedrich Kühne, Ossip Runitsch",Dmytro Bukhowetzkyi,,,,Wörner-Filmgesellschaft
Patsy,0,English,"Patsy is the awkward sister of the lovely Grace. She is also in love with Grace's boyfriend. Mother shows favoritism towards Grace, and father is too accommodating to stand up for Patsy, although he knows she is picked on. When they are all at supper, Grace runs away on a motorboat with a millionaire playboy. During a deep talk with Grace's boyfriend, Patsy reveals that she is in love with somebody who doesn't know she exists.",1921,"Comedy, Drama",None,"Marjorie Daw, Zasu Pitts, Fanny Midgley, John MacFarlane, Tom Gallery",John McDermott,,,,"Fred Swanton, Truart Film Co."
Disraeli,0,English,The story of British prime minister Benjamin Disraeli and the purchase by England of the Suez Canal.,1921,Drama,"biography, based on play or musical, victorian england, british prime minister, 19th century, suez canal","Margaret Dale, Reginald Denny, Louise Huff, Florence Arliss, George Arliss",Henry Kolker,,,,Distinctive Productions
La Terre,97,French,"As Jean is walking across the countryside in search of work, he helps and befriends a young woman, Françoise, who is having trouble controlling the cow that she is leading. Jean finds work at a local farm, but he soon finds himself caught in the middle of the conflicts in Françoise's family.",1921,Drama,None,"Émile Mylo, Germaine Rouer, Armand Bour, Jean Hervé, René Alexandre",André Antoine,,,,Pathé Frères
Dracula's Death,65,Hungarian,The film is about a woman who experiences frightening visions after visiting an insane asylum where one of the inmates claims to be Count Dracula (here following the Hungarian spelling Drakula). She has trouble determining whether the inmate's visions are real or merely nightmares.,1921,"Thriller, Horror","vampire, insane asylum, silent film, lost film, dracula","Paul Askonas, Dezsõ Kertész, Margit Lux, Carl Goetz, Lena Myl",Károly Lajthay,,,,
Bright Eyes,18,English,An oil heir and the daughter of a social climbing family are set to marry.,1921,Comedy,"chase, golf, silent film, marry rich, rich man, social climbing","Ben Turpin, Dot Farley, Billy Bevan, Harriet Hammond, Phyllis Haver","Malcolm St. Clair, Roy Del Ruth",,,,Mack Sennett Comedies
The High Sign,21,English,"Buster is thrown off a train near an amusement park. There he gets a job in a shooting gallery run by the Blinking Buzzards mob. Ordered to kill a businessman, he winds up protecting the man and his daughter by outfitting their home with trick devices.",1921,"Crime, Comedy","bodyguard, trapdoor, oath, slapstick comedy, train, drifter, dog, silent film, amusement park, death threat, shooting gallery, short film","Buster Keaton, Joe Roberts, Charles Dorety, Bartine Burkett, Al St. John","Buster Keaton, Edward F. Cline",IndieFlix ,,,Joseph M. Schenck Productions
The Devil,58,English,"Dr. Muller, a friend to all, finds pleasure in turning the goodness in people to evil ends. He meets Marie Matin and her fiancée, Georges Roben, while viewing a new painting, ""The Martyr--Truth Crucified by Evil."" Marie declares that the picture was wrong--evil could never triumph over truth--and though Muller says he agrees with her, he plots to prove otherwise.",1921,Drama,"influence, satire, based on play or musical, devil, evil","Edmund Lowe, Lucy Cotton, Florence Arliss, Sylvia Breamer, George Arliss",James Young,,,,Associated Exhibitors
Cheated Love,50,English,"Sonya Schnoema, a Jewish girl, comes to the United States as an immigrant and works in her father's ghetto grocery store, where she gains the affections of a young settlement worker, David Dahlman. But she loves Mischa, a young doctor who soon arrives from Odessa, and to aid him financially, she distinguishes herself in the local Yiddish theater.",1921,Drama,None,"John Davidson, Carmel Myers, Allan Forrest, George B. Williams, Ed Brady",King Baggot,,,,Universal Film Manufacturing Company
The Goat,23,English,"A series of adventures begins when Buster is mistaken for Dead Shot Dan, the evil bad guy.",1921,Comedy,"police, mistaken identity, silent film, elevator, buster keaton, food line, short film","Buster Keaton, Joe Roberts, Virginia Fox, Malcolm St. Clair, Edward F. Cline","Buster Keaton, Malcolm St. Clair",,,,"Buster Keaton Productions, Joseph M. Schenck Productions"
