Movie_Name,Runtime,Original_Language,Overview,Release Date,Genre,Keywords
Due Justice,98,en,An attorney with a military past hunts down the gang who killed his wife and took his daughter.,2023-11-24,"Crime, Thriller, Action","crime boss, vigilante, crime syndicate, murder of family, vengeance, revenge thriller, vigilante justice, organ trafficking, attorney, abducted daughter"
Spider-Man: Across the Spider-Verse,140,en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,"Animation, Action, Adventure, Science Fiction","new york city, sacrifice, superhero, comic book, based on comic, sequel, romance, alternate dimension, india, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teen superhero, chelsea, alternate universe, teen romance, female superhero, slow burn romance, interdimensional travel, defying fate"
Elemental,102,en,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023-06-14,"Animation, Comedy, Family, Fantasy, Romance, Adventure","fire, computer animation, duringcreditsstinger, elements, water, city"
Trunk - Locked In,96,de,"28-year-old medicine student Malina wakes up disoriented in a locked trunk and realizes, to her horror, that she is missing more than just her memory of what happened. With her phone as the only link to the outside world, the intelligent young woman wages a desperate fight for survival while the vehicle races relentlessly toward a terrible secret.",2023-11-24,"Thriller, Action, Drama","kidnapping, claustrophobia, survival, medical student, car trunk"
Good Burger 2,91,en,"Dexter Reed is down on his luck after another one of his inventions fails. Ed welcomes Dex back to Good Burger with open arms and gives him his old job back. With a new crew working at Good Burger, Dex devises a plan to get back on his feet but unfortunately puts the fate of Good Burger at risk once again.",2023-11-22,"Family, Comedy","fast food restaurant, invention, loss of job, fast food, buddy comedy, out of work, job"
The Hunger Games: The Ballad of Songbirds & Snakes,157,en,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.",2023-11-15,"Drama, Science Fiction, Action","daughter, based on novel or book, arena, fight, mentor, dystopia, riot, exploration, president, prequel, survival, murder, snow, creature, battle, fight to the death, young adult, origin story, based on young adult novel, death game, teenager"
Leo,102,en,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",2023-11-17,"Animation, Comedy, Family","classroom, musical, bucket list"
The Inventor,92,en,"The insatiably curious and headstrong inventor Leonardo da Vinci leaves Italy to join the French court, where he can experiment freely, inventing flying contraptions, incredible machines, and study the human body. There, joined in his adventure by the audacious princess Marguerite, Leonardo will uncover the answer to the ultimate question – ""What is the meaning of it all?""",2023-09-15,"Animation, Drama, Family, History","inventor, leonardo da vinci, stop motion, historical fiction"
My Fault,117,es,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",2023-06-08,"Drama, Romance","stepbrother, female protagonist, stepsister, rise, enemies to lovers, passion and romance, car"
Freelance,108,en,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.",2023-10-05,"Action, Comedy","coup d'etat, dictatorship, political assassination, duringcreditsstinger, investigative journalism, ex special forces, fictional city"
